Title,Price,Page
Oppo A31 (CPH2015) - 6.5 Inches Display - 8GB RAM - 256GB ROM (128GB Usable + 128GB System Reserved) - Dual SIM (Official PTA Approved) - 12MP+2MP+8MP Camera - Mix Color (Phone with Box - No Accessories Included),"Rs. 19,999",1
"Oppo Reno2 Z - 6.53 Inches Full HD+ AMOLED Display - 8GB RAM - 256GB ROM (128GB Usable) - 16MP Motorize Popup Camera - Dual Sim PTA Approved - Phone with Box Only, Accessories Not Included) - Multi Color","Rs. 31,999",1
Vivo Y19 - 6.53 Inches IPS LCD Display - 8GB RAM - 256GB Storage - Official PTA Approved - Fingerprint Sensor - Helio P80 Processor - (Phone and Box. No Charger and No Accessories Included - Mix Color),"Rs. 20,999",1
"Vivo Y20s (G) - 6.51 HD+ Display - Dual Sim Official PTA Approved - 8GB RAM - 256GB ROM (128GB Usable, 128GB System Reserved) - 13/2/2 + 8MP Camera (Phone with Box only, No Charger No Accessories Included - Multi Color)","Rs. 23,999",1
"[Official Approved] Oneplus Nord N10 5G (BE2029/BE2028) - Single Sim - 6.49 Inches Full HD+ 90Hrz Display - 6GB RAM + 128GB ROM - Fingerprint Sensonr - PTA Approved - 100% Original (Imported Stock, Phone Only, No Box, No Charger, No Accessories Included)","Rs. 32,999",1
Tecno Spark 40 - 6.67 Inches Display - 6GB RAM 128GB ROM - 8MP Front Camera - 50MP Rear Camera - Dual SIM - 5200mAh Battery,"Rs. 44,999",1
Vivo Y20s - 6.51 Inches IPS LCD Display - 8GB RAM - 256GB Storage - Official PTA Approved - Fingerprint Sensor - Helio P80 Processor - (Phone and Box. No Charger and No Accessories Included - Mix Color),"Rs. 23,999",1
Vgotel New 16 Pro - IPS LCD - 6.745 Inches Display - 4GB RAM 64GB ROM - 5MP Front Camera - 13MP Rear Camera - Dual SIM - 6000mAh Battery,"Rs. 23,799",1
Moto G Play 2024 - 6.5 Inches Full HD+ Display - 4GB RAM 64GB ROM - PTA Approved Single Sim - SnapDragon Processor - Fingerprint Sensor - Mix Color (Phone Only - Box Charger Accessoires Not Included),"Rs. 29,999",1
"Samsung Galaxy s22 ultra | 12GB Ram | 128GB, 256GB, 512GB | official PTA approved | without box","Rs. 154,499",1
